id_remito,transportista,referencia,fecha
SH-P2-000018-2,EXPRESO-SUR,REM-P2-000018-2,2026-08-10
SH-FE1-000018,EXPRESO-SUR,REM-FE1-000018,2026-03-20
SH-FE2-000018,EXPRESO-SUR,REM-FE2-000018,2026-03-21
SH-FD-000018,EXPRESO-SUR,REM-FD-000018,2026-03-22
SH-REV-000018,EXPRESO-SUR,REM-REV-000018,2026-03-23
SH-USD-OC1-000018,GLOBAL-CARGO,REM-USD-OC1-000018,2026-04-01
SH-USD-OC2-000018,GLOBAL-CARGO,REM-USD-OC2-000018,2026-04-02
SH-USD-PT-000018,GLOBAL-CARGO,REM-USD-PT-000018,2026-04-03
SH-USD-FAIL-000018,GLOBAL-CARGO,REM-USD-FAIL-000018,2026-04-04
SH-N1-A-000018,EXPRESO-SUR,REM-N1-000018,2026-03-25
SH-N1-B-000018,EXPRESO-SUR,REM-N1-000018,2026-03-25
SH-1N-000018,EXPRESO-SUR,REM-1N-000018,2026-03-26
SH-P1-000019-0,EXPRESO-SUR,REM-P1-000019-0,2026-03-15
SH-P1-000019-1,EXPRESO-SUR,REM-P1-000019-1,2026-03-15
SH-P1-000019-2,EXPRESO-SUR,REM-P1-000019-2,2026-03-15
SH-P1-000019-3,EXPRESO-SUR,REM-P1-000019-3,2026-03-15
SH-P1-000019-4,EXPRESO-SUR,REM-P1-000019-4,2026-03-15
SH-P2-000019-0,EXPRESO-SUR,REM-P2-000019-0,2026-08-10
SH-P2-000019-1,EXPRESO-SUR,REM-P2-000019-1,2026-08-10
SH-P2-000019-2,EXPRESO-SUR,REM-P2-000019-2,2026-08-10
SH-FE1-000019,EXPRESO-SUR,REM-FE1-000019,2026-03-20
SH-FE2-000019,EXPRESO-SUR,REM-FE2-000019,2026-03-21
SH-FD-000019,EXPRESO-SUR,REM-FD-000019,2026-03-22
SH-REV-000019,EXPRESO-SUR,REM-REV-000019,2026-03-23
SH-USD-OC1-000019,GLOBAL-CARGO,REM-USD-OC1-000019,2026-04-01
SH-USD-OC2-000019,GLOBAL-CARGO,REM-USD-OC2-000019,2026-04-02
SH-USD-PT-000019,GLOBAL-CARGO,REM-USD-PT-000019,2026-04-03
SH-USD-FAIL-000019,GLOBAL-CARGO,REM-USD-FAIL-000019,2026-04-04
SH-N1-A-000019,EXPRESO-SUR,REM-N1-000019,2026-03-25
SH-N1-B-000019,EXPRESO-SUR,REM-N1-000019,2026-03-25
SH-1N-000019,EXPRESO-SUR,REM-1N-000019,2026-03-26
SH-P1-000020-0,EXPRESO-SUR,REM-P1-000020-0,2026-03-15
SH-P1-000020-1,EXPRESO-SUR,REM-P1-000020-1,2026-03-15
SH-P1-000020-2,EXPRESO-SUR,REM-P1-000020-2,2026-03-15
SH-P1-000020-3,EXPRESO-SUR,REM-P1-000020-3,2026-03-15
SH-P1-000020-4,EXPRESO-SUR,REM-P1-000020-4,2026-03-15
SH-P2-000020-0,EXPRESO-SUR,REM-P2-000020-0,2026-08-10
SH-P2-000020-1,EXPRESO-SUR,REM-P2-000020-1,2026-08-10
SH-P2-000020-2,EXPRESO-SUR,REM-P2-000020-2,2026-08-10
SH-FE1-000020,EXPRESO-SUR,REM-FE1-000020,2026-03-20
SH-FE2-000020,EXPRESO-SUR,REM-FE2-000020,2026-03-21
SH-FD-000020,EXPRESO-SUR,REM-FD-000020,2026-03-22
SH-REV-000020,EXPRESO-SUR,REM-REV-000020,2026-03-23
SH-USD-OC1-000020,GLOBAL-CARGO,REM-USD-OC1-000020,2026-04-01
SH-USD-OC2-000020,GLOBAL-CARGO,REM-USD-OC2-000020,2026-04-02
SH-USD-PT-000020,GLOBAL-CARGO,REM-USD-PT-000020,2026-04-03
SH-USD-FAIL-000020,GLOBAL-CARGO,REM-USD-FAIL-000020,2026-04-04
SH-N1-A-000020,EXPRESO-SUR,REM-N1-000020,2026-03-25
SH-N1-B-000020,EXPRESO-SUR,REM-N1-000020,2026-03-25
SH-1N-000020,EXPRESO-SUR,REM-1N-000020,2026-03-26
SH-P1-000021-0,EXPRESO-SUR,REM-P1-000021-0,2026-03-15
SH-P1-000021-1,EXPRESO-SUR,REM-P1-000021-1,2026-03-15
SH-P1-000021-2,EXPRESO-SUR,REM-P1-000021-2,2026-03-15
SH-P1-000021-3,EXPRESO-SUR,REM-P1-000021-3,2026-03-15
SH-P1-000021-4,EXPRESO-SUR,REM-P1-000021-4,2026-03-15
SH-P2-000021-0,EXPRESO-SUR,REM-P2-000021-0,2026-08-10
SH-P2-000021-1,EXPRESO-SUR,REM-P2-000021-1,2026-08-10
SH-P2-000021-2,EXPRESO-SUR,REM-P2-000021-2,2026-08-10
SH-FE1-000021,EXPRESO-SUR,REM-FE1-000021,2026-03-20
SH-FE2-000021,EXPRESO-SUR,REM-FE2-000021,2026-03-21
SH-FD-000021,EXPRESO-SUR,REM-FD-000021,2026-03-22
SH-REV-000021,EXPRESO-SUR,REM-REV-000021,2026-03-23
SH-USD-OC1-000021,GLOBAL-CARGO,REM-USD-OC1-000021,2026-04-01
SH-USD-OC2-000021,GLOBAL-CARGO,REM-USD-OC2-000021,2026-04-02
SH-USD-PT-000021,GLOBAL-CARGO,REM-USD-PT-000021,2026-04-03
SH-USD-FAIL-000021,GLOBAL-CARGO,REM-USD-FAIL-000021,2026-04-04
SH-N1-A-000021,EXPRESO-SUR,REM-N1-000021,2026-03-25
SH-N1-B-000021,EXPRESO-SUR,REM-N1-000021,2026-03-25
SH-1N-000021,EXPRESO-SUR,REM-1N-000021,2026-03-26
SH-P1-000022-0,EXPRESO-SUR,REM-P1-000022-0,2026-03-15
SH-P1-000022-1,EXPRESO-SUR,REM-P1-000022-1,2026-03-15
SH-P1-000022-2,EXPRESO-SUR,REM-P1-000022-2,2026-03-15
SH-P1-000022-3,EXPRESO-SUR,REM-P1-000022-3,2026-03-15
SH-P1-000022-4,EXPRESO-SUR,REM-P1-000022-4,2026-03-15
SH-P2-000022-0,EXPRESO-SUR,REM-P2-000022-0,2026-08-10
SH-P2-000022-1,EXPRESO-SUR,REM-P2-000022-1,2026-08-10
SH-P2-000022-2,EXPRESO-SUR,REM-P2-000022-2,2026-08-10
SH-FE1-000022,EXPRESO-SUR,REM-FE1-000022,2026-03-20
SH-FE2-000022,EXPRESO-SUR,REM-FE2-000022,2026-03-21
SH-FD-000022,EXPRESO-SUR,REM-FD-000022,2026-03-22
SH-REV-000022,EXPRESO-SUR,REM-REV-000022,2026-03-23
SH-USD-OC1-000022,GLOBAL-CARGO,REM-USD-OC1-000022,2026-04-01
SH-USD-OC2-000022,GLOBAL-CARGO,REM-USD-OC2-000022,2026-04-02
SH-USD-PT-000022,GLOBAL-CARGO,REM-USD-PT-000022,2026-04-03
SH-USD-FAIL-000022,GLOBAL-CARGO,REM-USD-FAIL-000022,2026-04-04
SH-N1-A-000022,EXPRESO-SUR,REM-N1-000022,2026-03-25
SH-N1-B-000022,EXPRESO-SUR,REM-N1-000022,2026-03-25
SH-1N-000022,EXPRESO-SUR,REM-1N-000022,2026-03-26
SH-P1-000023-0,EXPRESO-SUR,REM-P1-000023-0,2026-03-15
SH-P1-000023-1,EXPRESO-SUR,REM-P1-000023-1,2026-03-15
SH-P1-000023-2,EXPRESO-SUR,REM-P1-000023-2,2026-03-15
SH-P1-000023-3,EXPRESO-SUR,REM-P1-000023-3,2026-03-15
SH-P1-000023-4,EXPRESO-SUR,REM-P1-000023-4,2026-03-15
SH-P2-000023-0,EXPRESO-SUR,REM-P2-000023-0,2026-08-10
SH-P2-000023-1,EXPRESO-SUR,REM-P2-000023-1,2026-08-10
SH-P2-000023-2,EXPRESO-SUR,REM-P2-000023-2,2026-08-10
SH-FE1-000023,EXPRESO-SUR,REM-FE1-000023,2026-03-20
SH-FE2-000023,EXPRESO-SUR,REM-FE2-000023,2026-03-21
SH-FD-000023,EXPRESO-SUR,REM-FD-000023,2026-03-22
SH-REV-000023,EXPRESO-SUR,REM-REV-000023,2026-03-23
SH-USD-OC1-000023,GLOBAL-CARGO,REM-USD-OC1-000023,2026-04-01
SH-USD-OC2-000023,GLOBAL-CARGO,REM-USD-OC2-000023,2026-04-02
SH-USD-PT-000023,GLOBAL-CARGO,REM-USD-PT-000023,2026-04-03
SH-USD-FAIL-000023,GLOBAL-CARGO,REM-USD-FAIL-000023,2026-04-04
SH-N1-A-000023,EXPRESO-SUR,REM-N1-000023,2026-03-25
SH-N1-B-000023,EXPRESO-SUR,REM-N1-000023,2026-03-25
SH-1N-000023,EXPRESO-SUR,REM-1N-000023,2026-03-26
SH-P1-000024-0,EXPRESO-SUR,REM-P1-000024-0,2026-03-15
SH-P1-000024-1,EXPRESO-SUR,REM-P1-000024-1,2026-03-15
SH-P1-000024-2,EXPRESO-SUR,REM-P1-000024-2,2026-03-15
SH-P1-000024-3,EXPRESO-SUR,REM-P1-000024-3,2026-03-15
SH-P1-000024-4,EXPRESO-SUR,REM-P1-000024-4,2026-03-15
SH-P2-000024-0,EXPRESO-SUR,REM-P2-000024-0,2026-08-10
SH-P2-000024-1,EXPRESO-SUR,REM-P2-000024-1,2026-08-10
SH-P2-000024-2,EXPRESO-SUR,REM-P2-000024-2,2026-08-10
SH-FE1-000024,EXPRESO-SUR,REM-FE1-000024,2026-03-20
SH-FE2-000024,EXPRESO-SUR,REM-FE2-000024,2026-03-21
SH-FD-000024,EXPRESO-SUR,REM-FD-000024,2026-03-22
SH-REV-000024,EXPRESO-SUR,REM-REV-000024,2026-03-23
SH-USD-OC1-000024,GLOBAL-CARGO,REM-USD-OC1-000024,2026-04-01
SH-USD-OC2-000024,GLOBAL-CARGO,REM-USD-OC2-000024,2026-04-02
SH-USD-PT-000024,GLOBAL-CARGO,REM-USD-PT-000024,2026-04-03
SH-USD-FAIL-000024,GLOBAL-CARGO,REM-USD-FAIL-000024,2026-04-04
SH-N1-A-000024,EXPRESO-SUR,REM-N1-000024,2026-03-25
SH-N1-B-000024,EXPRESO-SUR,REM-N1-000024,2026-03-25
SH-1N-000024,EXPRESO-SUR,REM-1N-000024,2026-03-26
